Station Name,District,Longitude,Unnamed: 4,Unnamed: 5,Latitude ,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,Unnamed: 68,Unnamed: 69
BANSUR,ALWAR,27042' N,27.0,42.0,76021' E,76.0,21.0,27.466666666666665,76.23333333333333,776.0,708.0,718.0,308.0,802.0,621.0,366.0,628.0,418.0,954.0,123.0,605.0,317.0,0.0,468.0,796.0,1365.0,867.0,580.0,780.7,935.6,554.6,554.6,431.4,983.5,372.8,425.2,1088.8,604.9,1489.2,800.2,959.2,537.8,331.0,877.0,1385.7,619.0,750.6,480.0,427.0,665.2,684.0,686.0,793.0,480.0,917.0,0.0,483.1,483.1,483.1,483.1,639.2,694.2,694.2,592.8,421.5,,
BEHROD,ALWAR,27053' N,27.0,53.0,76017' E,76.0,17.0,27.58888888888889,76.18888888888888,487.0,653.0,417.0,397.0,851.0,676.0,669.0,735.0,507.0,522.0,232.0,682.0,483.0,349.0,453.0,857.0,1238.0,978.4,401.3,555.0,549.0,531.0,531.0,225.0,563.0,216.0,282.0,618.0,333.0,745.0,473.0,549.6,1159.0,292.0,442.0,1198.0,564.0,532.0,1143.5,453.0,729.6,674.8,511.7,860.1,326.4,753.8,0.0,416.5,416.5,416.5,416.5,636.3,794.2,794.2,506.7,533.9,,
GOVINDGARH,ALWAR,27030' N,27.0,30.0,77000' E,77.0,0.0,27.333333333333332,77.0,693.0,603.0,1264.0,619.0,1131.0,641.0,669.0,883.0,819.0,1090.0,287.0,480.0,550.0,0.0,663.0,605.5,1445.0,1078.5,569.0,291.0,337.0,387.0,387.0,363.0,527.0,258.0,455.0,863.0,761.0,935.5,496.7,455.1,546.0,213.0,682.0,914.0,723.0,790.0,340.0,716.0,490.0,718.5,486.0,482.4,409.0,748.0,0.0,540.0,540.0,540.0,540.0,780.0,558.8,558.8,926.7,805.0,,
KATHUMBAR,ALWAR,27020' N,27.0,20.0,77003' E,77.0,3.0,27.22222222222222,77.03333333333333,763.0,630.0,816.0,602.0,731.0,564.0,378.0,604.0,514.0,717.0,298.0,677.0,422.3,0.0,909.0,725.0,1206.0,1101.0,660.0,466.0,571.0,340.0,340.0,301.0,326.0,158.0,361.0,569.0,617.0,769.0,686.0,423.0,661.7,224.0,619.8,613.2,550.0,869.0,607.0,475.0,685.0,725.0,593.9,540.0,453.0,1035.0,0.0,464.0,464.0,464.0,464.0,522.6,606.1,606.1,928.9,682.2,,
KISHANGARH BAS,ALWAR,27049' N,27.0,49.0,76043' E,76.0,43.0,27.544444444444444,76.47777777777777,490.0,583.0,803.0,570.0,792.0,604.0,486.0,723.0,701.0,940.0,252.0,551.0,494.0,0.0,659.0,755.0,1253.0,1090.5,726.0,563.5,534.5,426.6,426.6,304.0,705.5,280.5,241.0,866.5,516.0,917.0,499.0,387.0,553.0,504.7,936.3,1118.0,960.0,785.0,393.0,705.0,625.0,830.5,702.0,631.0,515.0,775.6,0.0,647.0,647.0,647.0,647.0,697.1,440.4,440.4,950.7,733.5,,
KOTKASIM,ALWAR,28002' N,28.0,2.0,76043' E,76.0,43.0,28.022222222222222,76.47777777777777,584.0,952.0,1013.0,758.0,1320.0,947.0,621.0,1061.0,870.0,1160.0,258.0,645.0,559.0,0.0,858.6,802.0,1091.0,1119.0,618.0,797.0,468.0,497.0,497.0,384.5,707.0,204.5,300.2,706.5,304.5,767.0,525.6,465.7,448.3,317.7,364.0,390.0,980.0,763.0,317.0,607.0,542.0,673.5,458.0,547.0,346.0,664.5,0.0,535.0,535.0,535.0,535.0,369.2,864.2,864.2,684.8,665.2,,
LAXMANGARH,ALWAR,27022' N,27.0,22.0,76052' E,76.0,52.0,27.244444444444444,76.57777777777778,459.0,804.0,730.0,648.0,902.0,437.0,391.0,763.0,375.0,619.0,224.0,537.0,374.0,503.0,831.0,495.0,101.0,411.0,498.0,599.0,741.0,312.0,312.0,237.0,358.0,259.6,245.0,806.0,509.0,972.0,523.0,284.0,542.0,255.0,592.0,761.0,478.0,529.0,330.0,423.3,659.4,651.5,426.5,500.0,314.0,986.3,0.0,410.0,410.0,410.0,410.0,567.3,569.2,569.2,813.2,716.1,,
MALAKHERA,ALWAR,27023' N,27.0,23.0,76038' E,76.0,38.0,27.255555555555556,76.42222222222222,525.0,757.0,826.0,562.0,1238.0,553.0,418.0,663.0,515.0,825.0,247.0,582.0,411.0,0.0,875.0,888.0,1328.0,1145.0,530.0,673.0,640.0,421.0,421.0,479.0,660.0,376.0,135.0,644.0,479.0,867.0,593.0,394.0,317.0,344.0,586.0,1060.0,745.0,805.9,497.0,500.2,545.7,852.0,601.5,761.1,428.6,853.1,0.0,411.2,411.2,411.2,411.2,665.3,694.9,694.9,883.4,778.7,,
MUNDAWAR,ALWAR,27052' N,27.0,52.0,76033' E,76.0,33.0,27.57777777777778,76.36666666666666,483.0,619.0,766.0,362.0,807.0,555.0,515.0,519.0,562.0,881.0,217.0,431.0,623.0,0.0,1038.0,1311.0,1318.0,1726.0,931.0,1010.0,881.0,401.0,401.0,196.2,825.0,155.0,343.0,407.0,395.0,1149.8,518.0,798.5,710.4,353.0,818.8,1154.2,838.0,587.8,237.0,486.0,508.0,807.5,579.0,775.0,469.6,763.1,0.0,776.3,776.3,776.3,776.3,770.7,890.6,890.6,735.1,684.7,,
NEEMRANA,ALWAR,28000' N,28.0,0.0,76023' E,76.0,23.0,28.0,76.25555555555556,566.0,349.0,670.0,383.0,1068.0,625.0,296.0,666.0,351.0,811.0,108.0,681.0,425.0,0.0,632.0,965.0,1125.9,1373.0,795.0,1008.0,641.1,505.2,505.2,328.4,864.0,221.8,327.4,568.7,286.4,830.6,396.0,599.0,988.1,234.0,717.0,1424.5,1096.0,807.0,626.0,725.0,742.0,419.6,403.0,720.7,367.0,913.0,0.0,315.0,315.0,315.0,315.0,391.7,800.6,800.6,495.7,685.2,,
RAJGARH,ALWAR,27014' N,27.0,14.0,76037' E,76.0,37.0,27.155555555555555,76.41111111111111,770.0,701.0,714.0,478.0,1152.0,570.0,370.5,670.0,467.0,855.0,205.0,543.0,324.0,420.0,782.0,700.0,1020.0,1073.0,643.0,823.0,763.0,322.0,322.0,391.0,421.0,363.5,234.0,729.5,582.4,691.0,514.0,577.0,492.2,334.5,617.0,939.0,637.0,825.0,535.0,458.0,813.0,815.0,566.0,852.0,353.0,908.0,0.0,589.6,589.6,589.6,589.6,725.8,789.4,789.4,965.7,877.7,,
RAMGARH,ALWAR,27035' N,27.0,35.0,76049'E,76.0,49.0,27.38888888888889,76.54444444444445,618.0,705.0,1251.0,649.0,828.0,568.0,280.0,710.0,606.0,841.0,297.0,729.0,674.0,0.0,700.0,716.0,1216.0,1025.0,559.9,573.0,651.0,335.0,335.0,273.0,606.0,374.8,255.7,970.0,411.0,1047.0,630.0,465.0,635.0,228.2,660.5,775.0,797.0,732.0,348.0,522.0,643.0,603.5,611.0,694.0,105.0,790.0,0.0,506.0,506.0,506.0,506.0,607.8,528.3,528.3,920.6,762.8,,
TAPUKARA,ALWAR,28003' N,28.0,3.0,76051' E,76.0,51.0,28.033333333333335,76.56666666666666,485.0,455.0,495.0,331.0,527.0,475.0,329.0,434.0,283.0,620.0,247.0,312.0,297.0,0.0,526.0,503.0,1098.0,1182.0,570.0,658.0,432.0,551.0,551.0,588.0,889.0,465.0,526.0,1405.1,591.7,1434.0,870.0,769.0,703.0,307.0,818.0,1384.0,972.0,633.0,317.0,354.0,364.5,693.0,496.0,517.0,295.0,666.0,0.0,564.0,564.0,564.0,564.0,584.6,697.2,697.2,741.7,528.6,,
THANAGAJI,ALWAR,27024' N,27.0,24.0,76019' E,76.0,19.0,27.266666666666666,76.21111111111111,753.0,800.0,902.0,529.0,1225.0,685.0,515.0,835.0,556.0,909.0,179.0,578.0,565.0,0.0,807.0,1123.0,1272.0,1094.0,909.0,918.0,763.0,322.0,322.0,424.0,561.0,491.0,226.0,726.0,703.0,1014.6,527.0,704.0,618.8,520.9,929.4,1188.6,780.0,929.1,498.5,708.0,671.0,811.0,725.0,680.0,413.2,1091.9,0.0,495.3,495.3,495.3,495.3,704.9,808.4,808.4,637.9,796.8,,
TIJARA,ALWAR,27057' N,27.0,57.0,76051' E,76.0,51.0,27.633333333333333,76.56666666666666,633.0,313.0,679.0,574.0,812.0,454.0,425.0,655.0,604.0,810.0,246.0,526.0,325.4,446.0,793.0,606.0,1119.0,927.0,645.0,590.0,697.0,527.0,527.0,286.3,678.0,195.0,267.9,736.8,465.4,709.0,518.7,559.0,444.0,405.0,929.0,1139.0,833.9,832.3,296.7,485.9,599.3,743.8,643.0,705.8,425.6,968.8,0.0,796.6,796.6,796.6,796.6,566.3,839.3,839.3,973.1,660.1,,
ARTHUNA,BANSWARA,23030' N,23.0,30.0,74005' E,74.0,5.0,23.333333333333332,74.05555555555556,1055.0,1096.0,597.0,679.0,485.0,926.0,1450.0,698.0,1026.0,824.0,494.0,720.0,521.0,640.0,980.0,1013.0,1177.0,862.0,1303.0,624.0,654.0,768.0,1070.0,632.0,945.0,924.0,755.0,489.4,1016.0,866.0,879.0,643.6,945.6,799.0,931.0,1268.1,1223.0,1148.0,431.0,1705.0,695.0,542.2,552.2,585.3,668.0,760.7,0.0,487.5,440.4,830.1,870.9,1097.8,464.2,464.2,511.4,382.8,,
BANSWARA,BANSWARA,23033' N,23.0,33.0,74027' E,74.0,27.0,23.366666666666667,74.3,1300.0,1382.0,636.0,963.0,686.0,1391.0,2591.0,944.0,1383.0,1074.0,571.0,624.0,552.0,700.0,910.0,1187.0,1107.0,839.0,1674.6,1204.0,1096.0,1203.0,1284.0,676.0,1025.0,973.0,1264.5,643.0,1720.5,795.2,815.7,1383.4,885.3,927.0,1597.3,199.7,1325.1,1086.2,838.4,1600.3,676.5,1049.2,954.0,866.2,943.2,1142.7,0.0,561.1,779.6,1130.6,1112.6,1165.6,693.9,693.9,1190.9,624.2,,
BHUNGRA,BANSWARA,23041' N,23.0,41.0,74031' E,74.0,31.0,23.455555555555556,74.34444444444445,1216.0,1135.0,540.0,754.0,687.0,1145.0,1958.0,657.0,1019.0,793.0,555.0,399.0,393.0,735.0,864.0,733.0,1157.0,729.0,1354.0,840.0,620.0,801.0,1355.0,725.0,827.0,755.0,683.5,508.2,994.0,972.0,535.8,1018.3,737.0,0.0,1259.0,1564.9,1253.0,1041.4,882.4,1777.2,605.4,1141.1,870.3,1225.4,842.4,743.1,0.0,414.0,672.9,843.8,804.1,1407.9,714.1,714.1,114.7,184.0,,
DANPUR,BANSWARA,23031' N,23.0,31.0,74043' E,74.0,43.0,23.344444444444445,74.47777777777777,1056.0,1293.0,601.0,789.0,588.0,1378.0,2095.0,961.0,942.0,997.0,458.0,819.0,459.0,562.0,1010.0,1345.0,1260.0,1032.0,2271.0,11225.0,971.0,1105.0,1513.0,646.0,1082.0,940.0,1403.0,544.0,1346.0,1048.5,948.9,1406.6,815.4,707.4,1463.2,1389.6,1586.5,1263.1,896.4,2003.4,746.3,1420.8,826.7,1267.6,975.6,0.0,0.0,0.0,0.0,1129.3,949.5,806.3,637.7,637.7,968.2,588.6,,
GARHI,BANSWARA,23036' N,23.0,36.0,74008' E,74.0,8.0,23.4,74.08888888888889,1180.0,1115.0,523.0,940.0,531.0,1255.0,1802.0,597.0,1068.0,671.0,428.0,719.0,679.0,758.0,1022.0,833.0,1082.0,826.0,1078.0,625.0,639.0,725.0,1172.0,742.0,815.0,833.0,704.6,427.2,1040.0,809.0,803.4,942.0,629.0,614.8,1014.0,1008.3,1080.0,1220.2,616.9,1451.7,520.7,775.0,880.0,572.7,772.1,719.6,0.0,413.8,389.4,948.7,717.4,1111.0,624.6,624.6,755.1,409.8,,
GHATOL,BANSWARA,23045' N,23.0,45.0,74025' E,74.0,25.0,23.5,74.27777777777777,1179.0,1253.0,629.0,750.0,699.0,998.0,1802.0,746.0,1088.0,722.0,556.0,783.0,450.0,673.0,777.0,789.0,1111.0,696.0,1321.0,890.0,699.0,932.0,1373.0,811.0,781.0,679.3,922.2,525.2,1073.9,1007.4,719.8,982.6,797.1,777.7,1063.3,1440.3,936.6,1106.0,1004.0,1564.5,693.1,886.4,818.3,1123.6,858.1,1027.4,0.0,535.5,717.4,943.7,816.5,1359.5,728.8,728.8,1367.7,366.5,,
JAGPURA,BANSWARA,23052' N,23.0,52.0,74021' E,74.0,21.0,23.57777777777778,74.23333333333333,1037.0,1082.0,511.0,754.0,579.0,774.0,1461.0,665.0,846.0,698.0,486.0,594.0,389.0,587.0,867.0,658.0,952.0,730.0,1172.0,863.0,652.0,770.0,1195.0,669.0,735.0,825.0,783.2,414.0,1149.2,965.2,600.0,723.4,399.0,573.0,949.0,1073.0,1231.2,947.6,730.0,1581.6,683.2,706.5,730.6,866.3,910.8,618.1,0.0,440.1,602.7,646.4,787.6,1109.1,594.3,594.3,915.2,209.9,,
KUSHALGARH,BANSWARA,23012' N,23.0,12.0,74027' E,74.0,27.0,23.133333333333333,74.3,1241.0,987.0,1015.0,675.0,502.0,1592.0,1717.0,898.0,1092.0,993.0,510.0,448.0,419.0,656.0,1260.0,1447.0,1420.0,0.0,1685.0,1077.0,743.0,915.0,1251.0,834.0,1062.0,887.037,994.0,500.4,1011.0,935.3,718.0,1415.2,847.2,710.0,1020.0,1385.2,1357.6,850.5,609.9,1786.0,649.6,921.6,1377.9,1262.0,1139.7,1214.1,0.0,390.0,761.3,899.8,1261.7,1300.8,660.5,660.5,872.5,858.7,,
LOHARIA,BANSWARA,23046' N,23.0,46.0,74014' E,74.0,14.0,23.511111111111113,74.15555555555555,1028.0,1368.0,497.0,730.0,486.0,1178.0,1704.0,640.0,1060.0,991.0,601.0,625.0,381.0,721.0,648.0,864.0,959.0,0.0,672.0,639.0,678.0,773.0,1182.0,736.0,820.0,806.3,841.0,353.0,1000.0,572.7,512.8,0.0,586.0,599.0,962.1,1121.0,1057.2,1033.2,506.6,1110.6,520.0,464.7,773.2,739.0,743.2,633.6,0.0,338.1,460.3,524.5,652.7,738.7,406.7,406.7,922.9,274.6,,
SAJJANGARH,BANSWARA,23015' N,23.0,15.0,74015' E,74.0,15.0,23.166666666666668,74.16666666666667,1198.0,733.0,723.0,532.0,406.0,1771.0,1904.0,967.0,1113.0,974.0,602.0,493.0,469.0,516.0,1039.0,935.0,1230.0,0.0,1468.0,893.0,806.0,525.0,0.0,302.0,623.0,474.0,566.0,470.0,1065.0,0.0,348.1,1538.8,745.8,541.9,758.1,895.8,1193.7,870.0,650.2,1780.8,520.8,781.4,956.6,944.6,935.4,982.8,0.0,420.0,604.2,915.3,1009.8,1013.8,317.2,317.2,333.1,343.7,,
SALLOPAT,BANSWARA,23015' N,23.0,15.0,74006' E,74.0,6.0,23.166666666666668,74.06666666666666,1001.0,846.0,683.0,558.0,508.0,1398.0,1691.0,793.0,1045.0,968.0,490.0,724.0,530.0,737.0,1155.0,960.0,1558.0,0.0,1882.0,679.0,412.0,399.0,612.0,562.0,930.0,476.0,762.0,,,,1063.0,1585.0,892.0,724.4,1447.0,1509.0,1668.0,950.0,479.5,1758.0,599.5,801.8,1036.2,843.6,733.4,998.6,0.0,525.8,551.6,899.4,1001.8,1147.8,415.3,415.3,580.5,579.3,,
